# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   22.1  D    -1 UNKNOWN      2 |   16    8    8   25 | 50.0 25.0 25.0
   22.3  C    -1 UNKNOWN      0 |    2    3    0    4 | 40.0 60.0  0.0
   22.3  D    -1 UNKNOWN      8 |   56   29   24   87 | 51.4 26.6 22.0
   22.6  C    -1 UNKNOWN      0 |    3    3    2    5 | 37.5 37.5 25.0
   22.6  D    -1 UNKNOWN      4 |   32   14   13   48 | 54.2 23.7 22.0
   22.8  C    -1 UNKNOWN      1 |    7    4    4   12 | 46.7 26.7 26.7
   22.8  D    -1 UNKNOWN      6 |   47   22   20   71 | 52.8 24.7 22.5
   23.1  C    -1 UNKNOWN      1 |    8    6    6   14 | 40.0 30.0 30.0
   23.1  D    -1 UNKNOWN      8 |   54   26   22   83 | 52.9 25.5 21.6
   23.3  C    -1 UNKNOWN      1 |   10    8    6   18 | 41.7 33.3 25.0
   23.3  D    -1 UNKNOWN      5 |   36   17   16   54 | 52.2 24.6 23.2
   23.6  C    -1 UNKNOWN      1 |    9    6    6   17 | 42.9 28.6 28.6
   23.6  D    -1 UNKNOWN      5 |   36   18   16   54 | 51.4 25.7 22.9
   23.8  C    -1 UNKNOWN      1 |    6    4    4   12 | 42.9 28.6 28.6
   23.8  D    -1 UNKNOWN      5 |   37   18   16   56 | 52.1 25.4 22.5
   24.1  C    -1 UNKNOWN      0 |    4    2    4    8 | 40.0 20.0 40.0
   24.1  D    -1 UNKNOWN      5 |   38   18   16   56 | 52.8 25.0 22.2
   24.3  C    -1 UNKNOWN      0 |    5    2    4    9 | 45.5 18.2 36.4
   24.3  D    -1 UNKNOWN      5 |   36   17   16   54 | 52.2 24.6 23.2
   24.6  C    -1 UNKNOWN      0 |    5    4    4    9 | 38.5 30.8 30.8
