# surface survey -- labelled colour-sensor captures
# SV,label,port,t_ms,color_code,color_name,reflection,r,g,b,i
# --- YELLOW_NOTE  10:04:40  (5 s) ---
SV,YELLOW_NOTE,C,6671,10,WHITE,35,156,162,163,366
SV,YELLOW_NOTE,D,6671,0,BLACK,21,86,101,111,219
SV,YELLOW_NOTE,C,6772,10,WHITE,38,169,176,176,396
SV,YELLOW_NOTE,D,6772,0,BLACK,23,94,109,118,238
SV,YELLOW_NOTE,C,6873,10,WHITE,38,166,174,174,394
SV,YELLOW_NOTE,D,6873,0,BLACK,23,95,110,119,242
SV,YELLOW_NOTE,C,6974,10,WHITE,36,159,166,166,375
SV,YELLOW_NOTE,D,6974,0,BLACK,22,89,103,112,228
SV,YELLOW_NOTE,C,7075,10,WHITE,36,159,166,166,372
SV,YELLOW_NOTE,D,7075,0,BLACK,23,97,113,121,244
SV,YELLOW_NOTE,C,7176,10,WHITE,34,152,160,161,358
SV,YELLOW_NOTE,D,7176,0,BLACK,24,97,113,121,246
SV,YELLOW_NOTE,C,7277,10,WHITE,35,153,160,161,360
SV,YELLOW_NOTE,D,7277,0,BLACK,23,97,111,119,245
SV,YELLOW_NOTE,C,7378,10,WHITE,36,161,168,168,377
SV,YELLOW_NOTE,D,7378,0,BLACK,24,98,113,121,246
SV,YELLOW_NOTE,C,7479,10,WHITE,37,164,170,172,384
SV,YELLOW_NOTE,D,7479,0,BLACK,24,98,113,121,247
SV,YELLOW_NOTE,C,7580,10,WHITE,38,170,177,178,399
SV,YELLOW_NOTE,D,7580,0,BLACK,23,95,110,119,241
SV,YELLOW_NOTE,C,7681,10,WHITE,38,170,177,176,399
SV,YELLOW_NOTE,D,7681,0,BLACK,24,97,113,121,246
SV,YELLOW_NOTE,C,7783,10,WHITE,39,170,178,179,400
SV,YELLOW_NOTE,D,7783,0,BLACK,25,104,119,128,261
SV,YELLOW_NOTE,C,7884,10,WHITE,41,182,190,193,428
SV,YELLOW_NOTE,D,7884,0,BLACK,28,113,131,143,287
SV,YELLOW_NOTE,C,7985,10,WHITE,42,184,196,196,436
SV,YELLOW_NOTE,D,7985,0,BLACK,29,117,135,148,299
SV,YELLOW_NOTE,C,8086,10,WHITE,43,193,200,198,450
SV,YELLOW_NOTE,D,8086,0,BLACK,27,111,129,138,281
SV,YELLOW_NOTE,C,8187,0,BLACK,32,140,150,153,335
SV,YELLOW_NOTE,D,8187,0,BLACK,21,88,102,112,222
SV,YELLOW_NOTE,C,8288,10,WHITE,33,144,153,155,341
SV,YELLOW_NOTE,D,8288,0,BLACK,22,90,105,114,228
SV,YELLOW_NOTE,C,8389,10,WHITE,34,149,156,157,351
SV,YELLOW_NOTE,D,8389,0,BLACK,21,88,102,111,224
SV,YELLOW_NOTE,C,8490,10,WHITE,39,171,177,178,400
SV,YELLOW_NOTE,D,8490,0,BLACK,24,101,117,126,255
SV,YELLOW_NOTE,C,8591,10,WHITE,38,168,177,179,396
SV,YELLOW_NOTE,D,8591,0,BLACK,26,108,126,135,274
SV,YELLOW_NOTE,C,8692,10,WHITE,42,183,196,196,435
SV,YELLOW_NOTE,D,8692,0,BLACK,29,118,138,148,301
SV,YELLOW_NOTE,C,8793,10,WHITE,41,181,195,196,429
SV,YELLOW_NOTE,D,8793,0,BLACK,28,113,134,143,290
SV,YELLOW_NOTE,C,8894,10,WHITE,33,147,157,159,346
SV,YELLOW_NOTE,D,8894,0,BLACK,23,95,111,121,243
SV,YELLOW_NOTE,C,8995,10,WHITE,36,160,169,170,377
SV,YELLOW_NOTE,D,8995,0,BLACK,24,99,115,124,252
SV,YELLOW_NOTE,C,9096,10,WHITE,42,186,195,194,438
SV,YELLOW_NOTE,D,9096,0,BLACK,25,103,121,133,264
SV,YELLOW_NOTE,C,9197,10,WHITE,43,191,200,200,449
SV,YELLOW_NOTE,D,9197,0,BLACK,27,108,127,140,278
SV,YELLOW_NOTE,C,9298,10,WHITE,43,190,200,200,449
SV,YELLOW_NOTE,D,9298,0,BLACK,28,111,131,145,287
SV,YELLOW_NOTE,C,9399,10,WHITE,44,191,201,202,452
SV,YELLOW_NOTE,D,9399,0,BLACK,27,109,130,145,283
SV,YELLOW_NOTE,C,9500,10,WHITE,44,190,201,204,453
SV,YELLOW_NOTE,D,9500,10,WHITE,29,120,141,155,307
SV,YELLOW_NOTE,C,9601,10,WHITE,36,155,169,170,372
SV,YELLOW_NOTE,D,9601,10,WHITE,30,126,144,155,316
SV,YELLOW_NOTE,C,9703,0,BLACK,26,112,124,129,272
SV,YELLOW_NOTE,D,9703,0,BLACK,24,99,113,121,250
SV,YELLOW_NOTE,C,9804,0,BLACK,25,106,117,121,259
SV,YELLOW_NOTE,D,9804,0,BLACK,23,98,110,118,244
SV,YELLOW_NOTE,C,9905,0,BLACK,26,110,122,125,269
SV,YELLOW_NOTE,D,9905,0,BLACK,24,100,114,121,250
SV,YELLOW_NOTE,C,10006,0,BLACK,27,117,129,133,283
SV,YELLOW_NOTE,D,10006,0,BLACK,23,94,109,118,237
SV,YELLOW_NOTE,C,10107,0,BLACK,26,113,125,129,276
SV,YELLOW_NOTE,D,10107,0,BLACK,25,106,121,128,266
SV,YELLOW_NOTE,C,10208,0,BLACK,27,116,129,133,285
SV,YELLOW_NOTE,D,10208,0,BLACK,29,120,135,145,300
SV,YELLOW_NOTE,C,10309,0,BLACK,26,111,124,127,271
SV,YELLOW_NOTE,D,10309,0,BLACK,24,102,115,124,254
