# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   36.4  D    -1 UNKNOWN      1 |    8    9   10   20 | 29.6 33.3 37.0
   36.6  C     9 RED        100 |  936  317  412 1024 | 56.2 19.0 24.7
   36.6  D    -1 UNKNOWN      2 |    8    9   10   21 | 29.6 33.3 37.0
   36.9  C     9 RED         99 |  810  236  326 1023 | 59.0 17.2 23.8
   36.9  D    -1 UNKNOWN      2 |    8    9   10   21 | 29.6 33.3 37.0
   37.2  C     9 RED        100 |  826  249  343 1024 | 58.3 17.6 24.2
   37.2  D    -1 UNKNOWN      2 |    8    9   10   21 | 29.6 33.3 37.0
   37.4  C     9 RED        100 |  883  281  378 1024 | 57.3 18.2 24.5
   37.4  D    -1 UNKNOWN      2 |    8    9   10   21 | 29.6 33.3 37.0
   37.7  C     9 RED        100 |  821  249  341 1024 | 58.2 17.6 24.2
   37.7  D    -1 UNKNOWN      2 |    8    9   10   21 | 29.6 33.3 37.0
   37.9  C     9 RED        100 |  889  293  388 1024 | 56.6 18.7 24.7
   37.9  D     0 BLACK        7 |   31   34   34   72 | 31.3 34.3 34.3
   38.2  C     9 RED        100 |  973  357  449 1024 | 54.7 20.1 25.2
   38.2  D     0 BLACK       28 |  126  138  140  291 | 31.2 34.2 34.7
   38.4  C     9 RED         99 |  824  356  421 1023 | 51.5 22.2 26.3
   38.4  D     9 RED         99 |  764  320  393 1021 | 51.7 21.7 26.6
   38.7  C    -1 UNKNOWN     40 |  225  137  148  412 | 44.1 26.9 29.0
   38.7  D     9 RED        100 |  803  260  350 1024 | 56.8 18.4 24.8
   38.9  C     0 BLACK       22 |   94   88   91  226 | 34.4 32.2 33.3
   38.9  D     9 RED         99 |  880  313  407 1023 | 55.0 19.6 25.4
